id,song,artist,album,popularity,duration,emotion,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valance,tempo
0PKAijroHpnEtdY20bkGdr,ghost town (voice memo),Chloe George,ghost town (voice memo),70,137250,sad,0.471,0.229,8,-6.504,1,0.0358,0.953,0,0.0909,0.358,68.41
4XCnRvggQILzbtbV0VzgFU,I Will Survive,High Tropics,love 2.0,28,227554,sad,0.491,0.815,11,-6.502,0,0.0577,0.215,1.23e-05,0.224,0.49,93.978
6XRNCAnxJIB1p4RPdFVSq0,People Help the People,Birdy,Birdy (Deluxe Version),57,256236,sad,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254
6P57z7wZlYxmNxXCihQSwn,Foreign tree,Liush,Foreign tree,28,205181,sad,0.274,0.182,9,-16.843,1,0.033,0.818,0.0688,0.153,0.0973,156.763
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,Sara Kays,Remember That Night?,79,227186,sad,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
3L769KtCDRPoektqIEqQ5j,Lost in a City,Paul the Neighbour,Lost in a City,32,223500,sad,0.335,0.512,1,-11.304,1,0.0404,0.0455,2.72e-05,0.127,0.209,124.873
13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,Adele,30,72,182163,sad,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004
7aroxbyBcFzfmsjdRBV6cT,Julia,little dipper,Julia,34,207630,sad,0.621,0.627,7,-8.114,1,0.0383,0.587,0,0.099,0.37,131.086
2yoaXLItTfWNpdFFpdF3Ti,June,Florence + The Machine,High As Hope,54,221973,sad,0.363,0.362,5,-8.516,1,0.0339,0.28,2.03e-06,0.142,0.179,146.104
6DzvC1VHpyTFfLBbAYBa7W,Bird,Billie Marten,Writing of Blues and Yellows (Deluxe Version),51,220640,sad,0.235,0.187,6,-12.754,1,0.0347,0.988,0.00197,0.106,0.118,85.962
6fXTnGpl48gI5FQZOxhcOV,Like You Never Did,Johnning,Like You Never Did,47,182126,sad,0.406,0.477,7,-8.291,1,0.0321,0.64,0,0.154,0.21,147.172
1OdYu7mDO94ydUvfZPaPvP,I Can't Help (with Sarcastic Sounds),Shoffy,I Can't Help (with Sarcastic Sounds),1,121250,sad,0.714,0.4,2,-8.264,1,0.0618,0.393,0.000718,0.109,0.318,81.974
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,X&Y,84,295533,sad,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178
06p20tdVnOEUtVTKtmUXGW,Rest,LEFT.,Rest,45,231617,sad,0.354,0.456,7,-11.524,1,0.147,0.316,1.39e-05,0.115,0.246,155.712
3iiL6merNpFNX1bny9sfvM,If You Think It's Love,King Princess,Cheap Queen,45,203946,sad,0.432,0.34,5,-7.977,1,0.0824,0.807,0,0.0864,0.449,135.172
6mORGLOz79w6VsCRLWYYuK,The Night We Met,Lord Huron,Strange Trails,1,208211,sad,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107
40FsuBI6VgWa0ouG9KcB0c,Friends That Break Your Heart,James Blake,Friends That Break Your Heart,53,201712,sad,0.547,0.189,4,-13.143,0,0.0374,0.913,0.00553,0.108,0.141,75.924
0ecC8p17cDNlxHXkuYqeR6,Surrender,Natalie Taylor,Surrender,76,183103,sad,0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89
3KKUf8F2hktFscLgbH4YwR,no song without you,HONNE,no song without you,60,161536,sad,0.778,0.462,0,-12.729,1,0.0359,0.463,0.583,0.11,0.817,105.45
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),84,215106,sad,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881
218q4fCmVERKhXEZDr6g4P,Cry Over Boys,Alexander 23,Cry Over Boys,0,170812,sad,0.847,0.254,7,-13.551,1,0.0667,0.835,1.98e-05,0.527,0.381,117.987
779UN3kabApm2zfqX549vf,when was it over? (feat. Sam Hunt),Sasha Alex Sloan,when was it over? (feat. Sam Hunt),70,218093,sad,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91e-06,0.0904,0.494,129.958
4K2Py3YrBcEktYlowG0GTc,thetimewewanderoff,Liush,thetimewewanderoff,26,137452,sad,0.473,0.147,1,-14.932,1,0.038,0.91,0.000935,0.0981,0.0767,61.272
6MM22AtXB7I5gfTErMF0mJ,"Murder Song (5, 4, 3, 2, 1) - Acoustic",AURORA,All My Demons Greeting Me As A Friend (Deluxe),54,218666,sad,0.398,0.0887,9,-13.683,0,0.0334,0.902,1.76e-06,0.0873,0.356,74.797
18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,"summer,",80,181613,sad,0.795,0.178,0,-11.991,1,0.0574,0.607,0,0.623,0.608,93.982
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,lovely (with Khalid),88,200185,sad,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284
2pDV76DDE1NgAOueeHns3R,Get to You,INTRN,Get to You,35,167619,sad,0.839,0.42,7,-11.375,1,0.0468,0.519,0,0.151,0.568,126.022
2zPcVDSpYNVKQ5c7jR7MXj,summer depression,girl in red,summer depression,72,151693,sad,0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929
0yfd3MSq6JEsNxOzSLJR7g,Only,RY X,Only,0,268455,sad,0.373,0.178,7,-15.52,0,0.0303,0.906,0.558,0.109,0.0933,108.605
1I9a2zVcVWHtg9lpUjHrPX,hey there delilah,Caravn,love 2.0,39,255824,sad,0.357,0.323,11,-11.636,0,0.0421,0.644,4.59e-06,0.171,0.137,89.051
7CS9hRKJNmBGWUowSjhedb,Light Year (feat. Lennon Stella),Adam Melchor,Light Year (feat. Lennon Stella),57,188043,sad,0.395,0.495,3,-9.087,1,0.0329,0.496,0.0378,0.12,0.517,168.01
1CLmFKW99S8eJrebO3GB04,No Woman,Whitney,Light Upon the Lake,4,237973,sad,0.581,0.4,2,-8.739,1,0.0291,0.893,0.576,0.161,0.433,112.331
60Upg4NK79iFTP77w9O6E7,If I Ain't Got You,Caravn,If I Ain't Got You,49,190169,sad,0.691,0.236,1,-9.348,1,0.0418,0.864,0,0.191,0.589,117.945
4IMBnBRqm9RALmLrRqfMor,Love Is A Losing Game,Amy Winehouse,Back To Black,0,154160,sad,0.48,0.561,0,-5.874,1,0.027,0.317,0.00641,0.184,0.541,164.791
5kcvBnt6DPX3AMEsCx1qDh,Happiest Year,Jaymes Young,Happiest Year,59,228442,sad,0.501,0.167,1,-14.061,1,0.0484,0.885,0,0.111,0.356,112.275
0fmhvw57bEMrBccZkoQMmg,Dial Tone,little dipper,Dial Tone,0,183125,sad,0.691,0.762,6,-6.296,0,0.0268,0.107,1.36e-05,0.292,0.395,95.977
2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major,A Song For Every Moon,77,210240,sad,0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902
15VDHAMS4JCLziCjNkmQl1,Older Than I Am,Lennon Stella,Three. Two. One.,60,181533,sad,0.44,0.306,9,-8.947,1,0.0363,0.891,0,0.103,0.201,117.288
1q3AoLCoawd8Gpm9wP7sHi,Cold Nights,Camo Columbo,Cold Nights,39,189813,sad,0.941,0.421,11,-7.918,0,0.0583,0.321,9.34e-05,0.0967,0.787,107.011
6OBl3esnGuz8PllwDWinWS,What's Good,Fenne Lily,What's Good,0,216875,sad,0.542,0.0957,8,-14.518,0,0.0404,0.935,6.4e-06,0.182,0.259,134.739
0omwXDRLUssZ7fgl9vkL4m,Town I Called My Home,yaeow,Town I Called My Home,0,139200,sad,0.554,0.295,0,-13.619,1,0.098,0.816,0.541,0.103,0.206,200.144
1XczdQt6RKNkEQfPqUsi3q,All I Want,Kodaline,The Kodaline EP,0,306600,sad,0.189,0.426,0,-9.084,1,0.045,0.114,0.0885,0.058,0.159,187.281
0HRyeeLzVCvI2F06Uy6shQ,Lie Awake,Chandler Leighton,Lie Awake,51,187934,sad,0.539,0.134,0,-12.45,1,0.0446,0.885,0,0.102,0.245,68.747
58qX77t2VWMWcycsh9zKLc,i don't want to watch the world end with someone else,Clinton Kane,i don't want to watch the world end with someone else,73,184505,sad,0.535,0.359,2,-9.343,1,0.0607,0.771,0,0.111,0.488,154.163
0fBSs3fRoh1yJcne77fdu9,Video Games,Lana Del Rey,Born To Die - The Paradise Edition,73,281960,sad,0.236,0.249,6,-9.595,0,0.0348,0.811,1e-06,0.087,0.181,72.847
5YlHgqWo3Kt2mF88ubmR62,Sad Corny Fuck,JP Saxe,Hold It Together,44,220520,sad,0.604,0.179,2,-15.383,1,0.0339,0.835,0,0.162,0.391,124.982
3asmXN94x4NWhD1EB9PGK4,Is It Worth It Anymore?,High Tropics,Is It Worth It Anymore?,21,207367,sad,0.585,0.537,11,-5.409,1,0.0266,0.0521,0.000162,0.167,0.622,119.955
